20031119	20031120	 Abbeville, LA	 formation	10 minutes
19830601	20071027	 Gold Coast (Australia),	 circle	?
19991231	20000627	 Gold Coast (QLD, Australia),	 light	1min
20050305	20050306	 Gold Coast (QLD, Australia),	 light	3 - 5 mins
19960425	19960426	 Gold River, CA		30 min.
20041208	20041209	 Goldbar, WA	 light	1.5 hrs
20090322	20090321	 Goldcoast (Australia),	 fireball	2 minutes
19890501	19990609	 Golden Shores/Topock, AZ	 formation	10 minutes
19990304	19990308	 Golden Valley, AZ	 light	3 minutes
19970815	19990730	 Golden Valley, AZ	 light	3seconds
20080319	20080323	 Golden Valley, AZ	 triangle	
20090306	20090306	 Golden Valley, AZ	 light	5 minutes
20090518	20090518	 Golden Valley, AZ	 cone	30 Min
20080724	20090918	 Golden Valley, AZ	 fireball	10 minutes
0	20000312	 Golden Valley, MN	 flash	2.5 hours
19920925	20000324	 Golden Valley, MN	 flash	2.5 hours
20030422	20030423	 Golden Valley, MN	 fireball	1-2 seconds
20050216	20050220	 Golden Valley, MN	 oval	3 minutes
20050531	20050531	 Golden Valley, MN	 unknown	2-3 mins
20070215	20070215	" Golden&apos;s Bridge, NY"	 other	2-3 minutes
19950606	19970417	 Golden, CO	 other	15 minutes
20010817	20010818	 Golden, CO	 other	3 sec
20011129	20011130	 Golden, CO	 light	3 seconds
20020219	20020219	 Golden, CO	 other	15 Mins
20021009	20021009	 Golden, CO	 chevron	15 seconds
20030711	20030918	 Golden, CO	 unknown	6-8 minutes
20040104	20040119	 Golden, CO	 other	20sec
20040930	20041206	 Golden, CO	 other	night
19750704	20051002	 Golden, CO	 sphere	15 seconds
20051220	20051220	 Golden, CO	 light	hour and a half on and of
20060314	20060315	 Golden, CO	 circle	40 seconds
20080503	20080603	 Golden, CO	 teardrop	30-40 seconds
20081103	20081103	 Golden, CO	 flash	15 minutes
19970715	20090604	 Golden, CO	 oval	2 min
19970610	19990606	 Golden, CO,I70E by exit for, CO	 light	2 minutes
19590801	20060321	 Golden, TX	 disk	3 seconds
20060412	20060416	" Golden/ Boulder (between;  2 mi. S. of Rocky Flats), CO"	 formation	5 mins
19990925	19991023	 Goldendale (3 miles ne of), WA	 circle	3-5sec
20060921	20060924	 Goldendale (north of), WA	 light	2.5 seconds
20021014	20021021	 Goldendale, WA	 disk	5 minutes
20010612	20010616	 Goldfield (Near), NV	 formation	3 mins
19590915	20050310	 Goldfield, NV	 light	1 minute
20070814	20070817	 Goldhead State Park (Clay Co.), FL	 diamond	20 min
19980121	20030516	 Goldsboro (north of), NC	 formation	10+ minutes
19950603	19950603	 Goldsboro, NC		3 sec.
19820615	20000803	 Goldsboro, NC	 disk	3-5 minutes
19600715	20011010	 Goldsboro, NC	 sphere	2 minutes
19970715	20040816	 Goldsboro, NC	 formation	20 mins
20040610	20050211	 Goldsboro, NC	 sphere	21/2 minutes
20050429	20050429	 Goldsboro, NC	 unknown	10 minutes
19970715	20090330	 Goldsboro, NC	 sphere	Maybe 1 Min.
19710801	20060924	 Goldsmith, TX	 light	30 Minutes
20090305	20090308	 Goldthwaite, TX	 formation	34 sec
19950410	19950410	 Goleta, CA		5 sec.
20020728	20020806	 Goleta, CA	 unknown	2-4 MINUTES
20030511	20030513	 Goleta, CA		30 minutes
20030515	20030524	 Goleta, CA	 unknown	night
20040107	20040224	 Goleta, CA	 triangle	30 seconds
20050714	20050715	 Goleta, CA	 sphere	5 minutes
20050811	20050811	 Goleta, CA	 flash	less than 1 second
20061107	20061110	 Goleta, CA	 other	1-3 seconds
20070101	20070118	 Goleta, CA	 light	forever
20070204	20070205	 Goleta, CA	 other	10-20 minutes
20080114	20080115	 Goleta, CA	 triangle	45  seconds
19670630	20071212	 Goleta, CA	 unknown	3 hours
20070915	20080813	 Goleta, CA	 cigar	15+ min.
19910826	20080107	 Golqnovci (Bulgaria),		10min.
20051027	20051108	 Gonsaga Bay (Mexico),		unknow
20061013	20061013	 Gonzales, CA	 changing	Unknown
19990601	20090605	 Gonzales, CA	 changing	
20001014	20001016	 Gonzales, LA	 rectangle	30 seconds
19981007	20011125	 Gonzales, LA	 triangle	2 minutes
20031224	20031226	 Gonzales, LA	 triangle	2 minutes
20090101	20090101	 Gonzales, LA	 unknown	one minute
19901224	20090227	 Gonzales, LA	 fireball	In a trailer park
20100726	20100726	 Gonzales, LA	 sphere	20 SECONDS
19630601	20010725	 Gonzales, TX	 cigar	30 sec.
20100705	20100712	 Goochland, VA	 light	7 seconds
20090128	20090128	 Good Hope, IL	 fireball	3 seconds
20050614	20070204	 Good Spirit Lake (Canada), SK	 light	1hr-1hr 20min
20060909	20060905	 Good Spring, PA	 teardrop	2 seconds
20060820	20060820	 Gooderham (Canada), ON	 cigar	1 hour
20011201	20011209	 Goodland (@10 miles east of), KS	 unknown	1 1/2 - 2 minutes
20060304	20060304	 Goodland, FL	 light	1hour
20050705	20050720	 Goodland, KS	 formation	15 MINUTES
20060118	20060412	 Goodland, KS	 unknown	45 minutes
20090120	20090120	 Goodland, MO	 circle	25 sec
20011220	20020102	 Goodlettsville, TN	 fireball	approx. 10 seconds
19941014	20021024	 Goodlettsville, TN	 changing	2 minutes
20040304	20040329	 Goodlettsville, TN	 light	1 minute
20050901	20050902	 Goodlettsville, TN	 rectangle	5 seconds
20070417	20070501	 Goodlettsville, TN	 circle	Maybe  one minute
20080310	20080528	 Goodlettsville, TN	 unknown	5 min
20080629	20080630	 Goodlettsville, TN	 diamond	10 seconds
20090525	20090525	 Goodlettsville, TN	 circle	20 sec
20090707	20090707	 Goodlettsville, TN	 light	Approx. 1 min.
19710610	20070807	 Goodman, MO	 disk	3-5 minutes
20050617	20050617	 Goodrich, TX	 light	2 minutes
19981117	19981118	 Goodyear, AZ	 light	onehour
19980113	19990101	 Goodyear, AZ	 light	3 minutes
20010829	20010829	 Goodyear, AZ	 other	20 min
20020702	20020702	 Goodyear, AZ	 light	20 min.
20040312	20040329	 Goodyear, AZ	 light	3 minutes
20040614	20040622	 Goodyear, AZ	 disk	10 to 15 mins
20050913	20050914	 Goodyear, AZ	 unknown	15 to 20 minutes
20060515	20060521	 Goodyear, AZ	 light	15 minuets
20070323	20070323	 Goodyear, AZ	 fireball	5 minutes
20071106	20071106	 Goodyear, AZ	 changing	5 seconds
19970313	20090312	 Goodyear, AZ	 unknown	5 minutes
20090704	20090706	 Goodyear, AZ	 unknown	2 mins
20090817	20090817	 Goodyear, AZ	 light	less than 1 minute
20100630	20100630	 Goodyear, AZ	 oval	
20040614	20040615	 Goodyear/Buckeye/Gila Bend, AZ	 formation	20 minutes
19961030	19970625	 Goose Creek, SC	 cigar	1 min
19991007	19991008	 Goose Creek, SC	 disk	20 minutes
20031002	20031006	 Goose Creek, SC	 diamond	60 seconds
19730415	20060213	 Goose Creek, SC	 circle	3 min
20040715	20070724	 Goose Creek, SC	 triangle	"&lt;4 minutes"
20070830	20070830	 Goose Creek, SC	 diamond	30 seconds
20080223	20080223	 Goose Creek, SC	 light	1-2 minutes
20100212	20100212	 Goose Creek, SC	 flash	15 minutes
19960423	20031205	 Goose Eye (UK/England),	 light	3 seconds
20010122	20010124	 Gopeng, Perak (Malaysia),	 disk	25minutes
20021201	20021206	 Gordes-Manisa (Turkey),	 fireball	one month
20010614	20010629	 Gordon Lake (north of Yellowknife) (Canada), NT	 light	Fishing Trip
19931115	20060629	 Gordon, NE	 triangle	1 Hour?
19750101	20100707	 Goree/Mineral Wells (between), TX	 light	3-4 hours
19950115	19950124	 Gorham, ME		2 weeks
19970711	19970711	 Gorham, ME	 cigar	small white plane of some
20030130	20030130	 Gorham, ME	 unknown	5-10 secs, another 5-10 s
20020328	20020329	 Gorham, NH	 light	10 seconds
19710201	20050802	 Gorham, NH	 light	5 minutes
20050921	20051214	 Gorham, NH	 other	40 Minuets
20050923	20070221	 Gorham, NH	 formation	2 hours
19990401	19990408	 Goring, Oxon (UK/England),	 formation	15mins
19930706	20000202	 Gorman (15 miles north of, I-5), CA	 sphere	1 minute
19971129	19971202	 Gorman (60 miles north of Los Angeles), CA	 light	10-min.
19961116	19961122	 Gorman VOR (inflight), CA		
20090129	20090130	 Gorman, TX	 unknown	10 minutes
19670415	20080213	 Gormanstown (Ireland),	 other	Nightly for a month
20090103	20090108	 Gosberton (UK/England),	 circle	approx 5 seconds
20040104	20040409	 Gosford (Australia),	 light	45min
20090119	20090118	 Gosford (Australia),	 light	60SEC
20010412	20010413	 Gosforth (UK/England),	 circle	"don&apos;t know, about 5 mins"
20050417	20050417	 Goshen, AR	 circle	2 secs
20020813	20020816	 Goshen, CT	 light	10 Mins
20000226	20000227	 Goshen, IN	 light	~10 Min
0	20010204	 Goshen, IN	 unknown	10 min.
20060223	20060224	 Goshen, IN	 other	1 1/2 hrs
20080724	20080801	 Goshen, IN	 light	15 minutes
20080506	20080725	 Goshen, IN	 oval	4 minutes
19960704	19970109	 Goshen, NY	 light	
20020118	20020122	 Goshen, NY	 fireball	2-3 secs
20071107	20071117	 Goshen, NY	 triangle	01:00
20011201	20011202	 Goshen, OH	 unknown	30 minutes
19930820	20041214	 Goshen, OH	 triangle	5min?
19940701	20050328	 Goshen, OH	 triangle	30 mins
20060206	20060211	 Goshen, OH	 fireball	1 hour
19940721	20080728	 Goshen, OH	 triangle	5-10 min
20000914	20001019	 Goshen, VT	 unknown	10-15 sec.
20040711	20040711	 Gosport (UK/England),	 disk	3 mins
20020115	20020115	 Gosport, Hants (UK/England),	 circle	
20080318	20080317	 Gosport, KY	 triangle	2 hrs
19970317	19970318	 Gothenburg (Sweden),	 sphere	25 min
20040110	20040115	 Gothenburg (Sweden),	 disk	4 SEC
20050507	20050507	 Gothenburg (Sweden),	 circle	6 seconds
20050710	20050709	 Gothenburg (Sweden),	 circle	30seconds
19960715	20050823	 Gothenburg, NE	 circle	30 seconds
20050307	20050308	 Goulburn (Australia),	 oval	10 minutes
20070710	20071007	 Gourock (UK/Scotland),	 sphere	30 MINUTES
20000826	20011008	 Goverment Camp, OR	 light	5 minutes
20100120	20100120	 Gowanda, NY	 fireball	"&lt;5 sec."
20040108	20050407	 Gozo Island (Malta),	 unknown	20 mins apprx
20030817	20030818	 Gracemont, OK	 fireball	1 hour
20090724	20090724	 Gracville, FL	 flash	5 seconds
20090420	20090420	 Graettinger, IA	 other	5 minutes
20090912	20090915	 Grafenhausen (Germany),	 diamond	one minute
20010819	20041016	 Grafenwoehr (Germany),	 other	45 minutes
19960504	19971104	 Graford, TX	 light	15 mins
20090906	20090907	 Graford, TX	 sphere	3-4 m
20040812	20040813	 Grafton (Canada), ON	 light	10 mins
20030923	20030924	 Grafton, IL	 light	10 seconds
20031108	20031108	 Grafton, MA	 formation	30 seconds
20010918	20041202	 Grafton, MA	 light	10-20mins
20080101	20080101	 Grafton, MA	 circle	about 45 minutes from the
20091223	20091223	 Grafton, MA	 circle	6 seconds
19740801	20100718	 Grafton, MA	 circle	10 mins.
20060214	20060317	 Grafton, OH	 changing	
20100701	20100822	 Grafton, WI	 fireball	30 minutes
20090531	20090601	 Grafton, WV	 light	45 minutes at least
20090601	20090602	 Grafton, WV	 unknown	1 minute
20091001	20091001	 Grafton, WV	 sphere	2 minutes
19961127	19961127	 Graham County, NC		
20010110	20010110	 Graham, NC	 egg	@ 15 min
19611001	20020501	 Graham, NC	 triangle	30 seconds
20020730	20020731	 Graham, NC	 circle	1 Hour
19570901	20081101	 Graham, TX	 sphere	30 sec
19980206	19980210	 Graham, WA	 light	45 sec.
19991031	19991105	 Graham, WA	 other	1 minute +
20000704	20000705	 Graham, WA	 cigar	still occuring
20001029	20001030	 Graham, WA	 fireball	5 seconds
20001216	20001217	 Graham, WA	 light	4 to 5 seconds
20010502	20010503	 Graham, WA	 sphere	1 minute
20020809	20020811	 Graham, WA	 cigar	1 1/2 minutes
20031221	20031222	 Graham, WA	 circle	5 TO7 MINUTES
20040605	20040815	 Graham, WA	 circle	1 minute 45 sec.
20060405	20060405	 Graham, WA	 disk	30 minutes, and counting
20080118	20080126	 Graham, WA	 triangle	one minute
20090119	20090119	 Graham, WA	 circle	1 hour
20090526	20090529	 Graham, WA	 triangle	10 minutes
20100508	20100509	 Graham, WA	 light	15 minutes
20100508	20100509	 Graham, WA	 circle	1 minute
20030705	20030705	 Graham/Eatonville, WA	 triangle	2 minutes
20051201	20051206	 Graham/Puyallup, WA	 circle	split seconds. off and on
19890822	20050629	 Grahamsville, NY	 rectangle	5 MIN
20081117	20081117	 Grahamsville, NY	 light	10 minutes
19950315	19950315	 Grain Valley, MO		10 min.
19840615	20060806	 Grain Valley, MO	 sphere	15 min.
19991207	19991226	 Gramercy (on Hwy. 61), LA	 triangle	5 MINUTES
20040820	20040902	 Granada (Spain),	 unknown	35 secs
19990120	19990514	 Granada Hills, CA	 other	approx.2mins.
19990828	19990829	 Granada Hills, CA	 flash	1 second
20030807	20030808	 Granada Hills, CA	 unknown	15 minutes
20031015	20031206	 Granada Hills, CA	 disk	15 min
20060815	20060815	 Granada Hills/Mission Hills, CA	 disk	1hr
20020112	20020202	 Granbury, TX	 disk	11minutes
20040504	20040507	 Granbury, TX	 other	20 secs
20081022	20081024	 Granbury, TX	 circle	5 minutes
20081027	20081028	 Granbury, TX	 disk	Fourty five seconds
20010403	20010403	 Granby, CT	 flash	5 seconds
20020908	20020908	 Granby, CT	 oval	3 to 5 minutes
20040716	20040717	 Granby, MO	 sphere	4 - 7 seconds
20080925	20081001	 Granby, MO	 circle	Six nights in a row
20050306	20050403	 Granby, VT	 egg	two hours
20070623	20070623	 Grand Bay, AL	 fireball	5 seconds
20060804	20060807	 Grand Bend (north of Forest and Sarnia) (Canada), ON	 disk	roughly 2 minutes
19981117	19990620	 Grand Bend (outside of) (Canada), ON	 sphere	10 - 15 min
20001201	20010201	 Grand Blanc, MI	 triangle	3-4 minutes
20031021	20031027	 Grand Blanc, MI	 triangle	2-3 minutes
20051105	20051106	 Grand Blanc, MI		0
19700722	20070422	 Grand Blanc, MI	 light	several hours?
19700722	20080207	 Grand Blanc, MI		
20080517	20080517	 Grand Blanc, MI	 light	2-4 Minutes
20090114	20090114	 Grand Blanc, MI	 light	2 Minutes
20090319	20090324	 Grand Blanc, MI	 triangle	1 min
20080101	20080107	 Grand Canary Island,	 circle	10 mins
20030811	20030826	 Grand Canyon (100 miles from), AZ	 light	15 sec
19891201	20080831	 Grand Canyon (North Rim), AZ	 formation	30 minutes
20020315	20020803	 Grand Canyon (unsure, on route 66 heading to the), AZ	 triangle	few minutes
19981223	19990701	 Grand Canyon, AZ	 other	45seconds
20010816	20010829	 Grand Canyon, AZ	 triangle	20 seconds
20040419	20040426	 Grand Canyon, AZ	 light	1 min. plus
20061203	20061202	 Grand Canyon, AZ	 light	30 seconds
19950906	20000805	 Grand Canyon, North Rim, AZ	 light	1/2 second
19990618	20020114	 Grand Canyon, NV	 cigar	3
20060921	20061009	 Grand Cayman (offshore),	 light	1 minute
20050518	20050522	" Grand Cayman (on cruise; Caribbean),"	 circle	5 to 10 seconds
19760701	20080706	 Grand Chain, IL	 fireball	5-10 min ?
19730425	20000511	 Grand Chenier, LA	 sphere	20 seconds
19930715	20000109	 Grand Coulee, WA	 light	20 minutes
19750911	20020729	 Grand Coulee, WA	 cigar	10 minutes
20040408	20040412	 Grand Forks (60 km North of) (Arrow Lakes) (Canada), BC	 diamond	40.00 min
20020812	20020816	 Grand Forks (Canada), BC	 circle	5-6 seconds
20080607	20080610	 Grand Forks (Canada), BC	 disk	
20080820	20080820	 Grand Forks AFB, ND	 unknown	45 minutes
20060104	20060104	 Grand Forks, ND	 light	3 seconds
20060417	20060424	 Grand Forks, ND	 circle	
20070414	20070414	 Grand Forks, ND	 light	10 SEC
19770601	20090424	 Grand Forks, ND	 circle	
20090525	20090525	 Grand Forks, ND	 triangle	4-5 seconds
20090813	20090814	 Grand Forks, ND	 triangle	3-5 seconds each time
19950815	20011005	 Grand Haven, MI	 unknown	1-2 Hrs.
20040203	20040205	 Grand Haven, MI	 unknown	50 sec
20040503	20040504	 Grand Haven, MI	 sphere	6 seconds
20071107	20090318	 Grand Haven, MI	 triangle	10 Minutes
20100803	20100803	 Grand Haven, MI	 light	40 seconds
20011201	20011201	 Grand Island, NE	 fireball	5 minutes
19580601	20020219	 Grand Island, NE	 circle	2-3 min.
20041019	20041031	 Grand Island, NE	 light	over 1 hr.
20051022	20051023	 Grand Island, NE	 rectangle	3sec
20070813	20070813	 Grand Island, NE	 disk	15 sec
19850501	20080427	 Grand Island, NE	 sphere	20 - 30 seconds
20080816	20080817	 Grand Island, NE	 oval	5 minutes max
19980914	19990221	 Grand Island, NY	 sphere	90 sec
19750601	20020804	 Grand Island, NY	 oval	"3 hr&apos;s"
20100704	20100707	 Grand Island, NY	 fireball	3 seconds
20050214	20050224	 Grand Isle, LA	 triangle	10 seconds
20100704	20100711	 Grand Isle, LA	 circle	6 seconds
20031228	20031229	 Grand Isle, ME	 changing	+/- 10 mins.
20031228	20031228	 Grand Isle, ME	 triangle	ca. 10 mins.
20021107	20021109	 Grand Isle, VT	 oval	two events:  15 minutes w
20061001	20061002	 Grand Junction (15-20 miles, CO	 light	1 minute
19980805	19980807	 Grand Junction (west of), CO	 light	30 minutes
20000109	20000109	 Grand Junction, CO	 fireball	2 seconds
19890401	20010904	 Grand Junction, CO	 changing	30 min
20021102	20021102	 Grand Junction, CO	 other	three minutes
20030115	20030210	 Grand Junction, CO	 light	1 hour
20030308	20030311	 Grand Junction, CO	 triangle	5-10 seconds
20030603	20030605	 Grand Junction, CO	 light	5 seconds
20030708	20030708	 Grand Junction, CO	 sphere	1 minute
20031101	20031103	 Grand Junction, CO		10 Minutes
20040917	20040917	 Grand Junction, CO	 oval	3 minutes
20040916	20040919	 Grand Junction, CO	 disk	15 min
20050624	20051212	 Grand Junction, CO	 circle	10 Seconds
20080119	20080123	 Grand Junction, CO	 light	30 minutes
20080416	20080601	 Grand Junction, CO	 oval	5-7 mins
20050315	20080515	 Grand Junction, CO	 other	20 mins.
20080517	20080522	 Grand Junction, CO	 formation	15 min
20080921	20080921	 Grand Junction, CO	 unknown	4 min
20081012	20090406	 Grand Junction, CO	 light	
20090527	20090527	 Grand Junction, CO	 circle	5 seconds
20090902	20090902	 Grand Junction, CO	 unknown	1 minute
20100527	20100529	 Grand Junction, CO	 unknown	one hour
20001031	20001101	 Grand Ledge, MI	 light	:20 -:30 sec.
20060304	20060304	 Grand Ledge, MI	 changing	20-45 seconds
20060315	20060427	 Grand Ledge, MI	 triangle	20 sec
20040820	20040908	 Grand Marais, MN	 other	30 minutes
20050305	20050306	 Grand Marais, MN	 unknown	approx 1 hr
19991114	19991114	 Grand Marsh, WI	 circle	5 min.
20080731	20080801	 Grand Marsh, WI	 formation	
19980926	19980926	 Grand Mound (2 miles west of,  on Highway 30), IA	 other	3 seconds
20070103	20070104	 Grand Pass, MO	 fireball	4sec.
20000815	20000816	 Grand Prairie, TX	 fireball	20 sec
19981215	20010215	 Grand Prairie, TX	 disk	20
20010415	20011009	 Grand Prairie, TX	 unknown	30TO45 SEC
20030810	20030811	 Grand Prairie, TX	 light	3 seconds
20041105	20041106	 Grand Prairie, TX	 unknown	1 hour
19810915	20050224	 Grand Prairie, TX	 light	
19780507	20070306	 Grand Prairie, TX	 triangle	1 minute
20080113	20080115	 Grand prairie, TX	 rectangle	30 seconds to one mintue
19830715	20090325	 Grand Prairie, TX	 unknown	6 Minutes
20090420	20090420	 Grand Prairie, TX	 circle	seconds
20090523	20090523	 Grand Prairie, TX	 sphere	10 seconds
20100609	20100611	 Grand Prairie, TX	 other	3 seconds
20050710	20051224	 Grand Rapids (near), MN	 triangle	one minute
19981029	19981106	 Grand Rapids (North of), MI	 fireball	1 minute
19981102	19981106	 Grand Rapids (North of), MI	 fireball	1 minute
20020818	20020819	 Grand Rapids (outside), MI	 disk	10 seconds
20080125	20080209	 Grand Rapids to NYC (in flight), AB	 cigar	10 seconds
19960815	19970314	 Grand Rapids, MI	 light	20 minutes
19960815	19970314	 Grand Rapids, MI	 light	20-30 min
19970812	19970813	 Grand Rapids, MI	 light	1 hr 20 mins
19990817	19990817	 Grand Rapids, MI	 light	18 minutes
19990904	19990905	 Grand Rapids, MI	 light	30 to 40 min.
19990911	19990913	 Grand Rapids, MI	 flash	10 seconds
19991116	19991117	 Grand Rapids, MI	 light	7-10 seconds
19970820	20010123	 Grand Rapids, MI	 diamond	2 minutes
19990312	20010714	 Grand Rapids, MI	 triangle	drive by
20010916	20010916	 Grand Rapids, MI	 cigar	Approximately 1 minute
20020316	20020316	 Grand Rapids, MI	 chevron	3 minutes
20020514	20020516	 Grand Rapids, MI	 other	seconds
19990702	20020616	 Grand Rapids, MI	 light	40 to 60 seconds
19990312	20020924	 Grand Rapids, MI	 formation	30 seconds
20021115	20021115	 Grand Rapids, MI	 light	???
20031101	20031102	 Grand Rapids, MI	 oval	15 seconds
19700101	20031109	 Grand Rapids, MI	 disk	30 Minutes
19911210	20040419	 Grand Rapids, MI	 other	3.5 seconds
19991210	20040417	 Grand Rapids, MI	 other	3.5 seconds
19930615	20040419	 Grand Rapids, MI	 cigar	30 seconds
20041006	20041006	 Grand Rapids, MI	 sphere	1 minute
19910215	20050822	 Grand Rapids, MI	 disk	5 minutes
20050829	20050829	 Grand Rapids, MI	 formation	5-10 seconds
20050819	20051013	 Grand Rapids, MI	 light	10-12 seconds
20050924	20050926	 Grand Rapids, MI	 chevron	5 minutes
20051004	20051005	 Grand Rapids, MI	 oval	10 seconds
19990410	20051114	 Grand Rapids, MI	 triangle	30 minutes
20051112	20051114	 Grand Rapids, MI	 cylinder	Couple of seconds
19780112	20051102	 Grand Rapids, MI	 disk	5 minutes
20060506	20060506	 Grand Rapids, MI	 other	.30
20060604	20060605	 Grand Rapids, MI	 cylinder	3 minues
20060315	20060822	 Grand Rapids, MI	 formation	
20061006	20061006	 Grand Rapids, MI	 cigar	5 minutes
20020810	20070220	 Grand Rapids, MI	 fireball	30 min
19950615	20070706	 Grand Rapids, MI	 disk	45 sec
20070620	20070620	 Grand Rapids, MI	 light	10 minutes
20070706	20070706	 Grand Rapids, MI	 light	30 seconds
20070628	20070630	 Grand Rapids, MI	 light	10 seconds
20070811	20070811	 Grand Rapids, MI	 light	1 minute
20070711	20070811	 Grand Rapids, MI	 other	10 seconds
20070811	20070811	 Grand Rapids, MI	 other	10 seconds
20071020	20071021	 Grand Rapids, MI	 circle	1min
20080417	20080417	 Grand Rapids, MI	 light	10 seconds
20000425	20080425	 Grand Rapids, MI		1-3 minutes
19780112	20081105	 Grand Rapids, MI	 disk	5 minutes
20081202	20081204	 Grand Rapids, MI	 triangle	3 minutes
20090208	20090208	 Grand Rapids, MI	 triangle	20 seconds
20090317	20090316	 Grand Rapids, MI	 disk	45 minutes
20090502	20090503	 Grand Rapids, MI	 unknown	30-40 minutes
20090317	20090316	 Grand Rapids, MI	 disk	approx 30 minutes
20090413	20090614	 Grand Rapids, MI	 sphere	40 minutes
20090815	20090815	 Grand Rapids, MI	 fireball	2 minutes
20090815	20090815	 Grand Rapids, MI	 fireball	approximately 2 minute
20090802	20090803	 Grand Rapids, MI	 circle	2 seconds
19770901	20100517	 Grand Rapids, MI	 cone	3 minutes
19980510	20040301	 Grand Rapids, MN	 unknown	10 Seconds
20040916	20040916	 Grand Rapids, MN	 sphere	2 minutes
20070201	20070206	 Grand Rapids, MN	 fireball	3 sec
20070619	20070619	 Grand Rapids, MN	 triangle	1-2 minutes
20080726	20080726	 Grand Rapids, MN	 fireball	1 min 40 sec
20071103	20071105	 Grand Rapids, OH	 rectangle	10 seconds
20010221	20010302	 Grand Ronde, OR	 disk	driving to mcminville
19990905	19990909	 Grand View (near, remote location in N. Wisconsin), WI	 formation	5 minutes
20031010	20031013	 Grand View, ID	 light	12-15 seconds
20040514	20040514	 Grand View, ID	 triangle	8 minutes
19980820	20050224	 Grande Prairie (Canada), AB	 unknown	3 minutes
20050221	20050224	 Grande Prairie (Canada), AB	 cone	5 min.
19980828	20050224	 Grande Prairie (Canada), AB	 triangle	50 seconds
20050930	20051001	 Grande Prairie (Canada), AB	 light	7 - 8 seconds
20060711	20060811	 Grande Prairie (Canada), AB	 fireball	15mins
19750601	20080211	 Grandview (Canada), MB	 rectangle	30 minutes
19961117	19961117	 Grandview, MO		
0	20000621	 Grandview, MO	 formation	4 or 5 minutes
20030114	20030115	 Grandview, MO	 oval	5 min
20050316	20050317	 Grandview, MO	 cigar	5 seconds
19890917	20060507	 Grandview, MO	 circle	4-5 sec
19660601	20100319	 Grandview, MO	 triangle	15 min
20070703	20070703	 Grandview, OH	 light	30 min
19990711	19990712	 Grandview, WA	 flash	00:30
19991201	20031019	 Grandview, WA	 formation	about 5 minutes
20060126	20060127	 Grandville, MI	 sphere	2 hours
20100611	20100612	 Grandville, MI	 unknown	3 min
20080807	20080807	 Grangemouth (UK/Scotland),	 light	10mins
20051004	20051004	 Granger, IA	 formation	15 seconds
20080927	20080927	 Granger, IN	 light	2 Minutes
20100625	20100626	 Granger, IN	 light	1 minute
20080704	20100410	 Granger/Mishawaka, IN	 changing	3 min.
19950118	19950118	 Grangeville, ID		
20030209	20030210	 Grangeville, ID	 light	1 minute
20030210	20030210	 Grangeville, ID	 light	5 minutes
20030522	20030522	 Grangeville, ID	 disk	5-6 minutes
20071129	20080126	 Granisle (Canada), BC	 disk	15 minutes
20010324	20010324	 Granite Bay, CA	 chevron	3 minutes
20080204	20080206	 Granite Bay, CA	 other	10 minutes
20081120	20081120	 Granite Bay, CA	 rectangle	10 minutes
20100530	20100531	 Granite Bay, CA	 changing	10 Minutes
19970704	19970708	 Granite City (5min.from St.Louis,MO.), IL	 light	3to4sec.
19970704	19970708	 Granite City, IL	 light	15 minutes
19960801	19981113	 Granite City, IL	 sphere	20 minutes
19990408	19990409	 Granite City, IL	 light	25 minutes
19830513	20000531	 Granite City, IL	 disk	15 sec
20001118	20001124	 Granite City, IL	 triangle	less than a minute
0	20010131	 Granite City, IL	 circle	20 seconds
20021102	20021105	 Granite City, IL	 light	10 SECOUNDS
20040726	20040730	 Granite City, IL	 cigar	15 minutes
20100808	20100809	 Granite City, IL	 light	30 seconds
20000915	20050225	 Granite Falls (23 miles east of), WA	 unknown	2-3 Minutes
20050618	20050618	 Granite Falls, MN	 other	45 seconds
19960209	19960209	 Granite Falls, WA	 cylinder	
19960608	19960611	 Granite Falls, WA		45 sec.
20010312	20010316	 Granite Falls, WA	 light	aprox40secs.
20010305	20010305	 Granite Falls, WA	 fireball	60sec
20010313	20010316	 Granite Falls, WA	 flash	4 min
20010312	20010318	 Granite Falls, WA	 light	about 1min
20010908	20010909	 Granite Falls, WA	 cigar	1 minute
20020110	20020117	 Granite Falls, WA	 disk	
20020407	20020408	 Granite Falls, WA	 light	20mn
20021102	20021107	 Granite Falls, WA	 circle	15 min
20021102	20021207	 Granite Falls, WA	 light	seconds
20030728	20030803	 Granite Falls, WA	 changing	approx 15mins
20031105	20031106	 Granite Falls, WA	 fireball	1 - 2 seconds
20031218	20031218	 Granite Falls, WA	 fireball	2 seconds
20040816	20040816	 Granite Falls, WA	 changing	6 HOURS
20040817	20040817	 Granite Falls, WA	 triangle	4 hours
20050222	20050222	 Granite Falls, WA	 fireball	1 sec
20050704	20050706	 Granite Falls, WA	 sphere	60 seconds
20060208	20060525	 Granite Falls, WA	 disk	15-20 minutes
20060624	20060624	 Granite Falls, WA	 sphere	2 min
20030801	20070707	 Granite Falls, WA	 circle	90 minutes
20100117	20100117	 Granite Falls, WA	 light	20 seconds
19920625	20021223	 Granite Shoals, TX	 disk	5 minutes
19950817	19950821	 Granite, WA		15 min.
20001020	20001020	 Granite/East St. Louis, IL		5minutes
19980101	19980512	 Graniteville, SC	 disk	
